Role Category,Role,Functional Area,Industry,Skill1,Skill2,Skill3,Skill4,Skill5
67,424,35,58,10365,7201,5560,905,2207
67,424,35,43,11191,10433,4838,7334,3229
67,405,35,58,10433,4948,7249,8661,7880
67,405,35,58,10708,1701,3795,3534,9509
67,364,35,16,11132,6643,6386,10433,9509
67,424,35,1,11191,1563,9813,9254,11452
67,424,35,1,7690,3894,4830,3405,11422
67,424,35,30,6864,7880,8037,4830,8090
67,193,35,40,3106,8880,2255,11192,9469
67,424,35,41,7068,6386,6762,3229,7249
67,424,35,41,7527,1623,7880,8517,4838
67,424,35,30,10433,9804,7249,6643,8683
67,424,35,30,8646,9712,9332,1623,7425
67,424,35,43,6597,9395,7484,253,5560
67,424,35,43,7880,7508,8364,10072,2089
67,424,35,52,11191,5843,10433,6864,3894
67,364,35,34,10365,1180,5654,10433,9768
67,364,35,34,8200,5560,5379,7642,868
67,364,35,13,10365,6386,3534,7880,3795
67,424,35,41,1276,6386,3795,7880,10365
67,424,35,41,10593,7249,9954,4830,7105
67,424,35,41,4666,8037,9452,9550,6384
67,434,35,58,574,9035,9882,9404,230
67,434,35,58,8494,7527,10527,1341,7045
67,364,35,53,10433,5272,7880,2938,5514
67,424,35,30,10433,6806,7690,6103,1719
67,323,35,12,9372,1499,7993,9032,10708
67,323,35,12,3795,1276,1508,7668,7387
67,424,35,46,7934,6386,10527,5654,3795
67,424,35,46,7880,5025,7249,11182,5560
67,424,35,10,6386,7880,3229,253,4838
67,424,35,17,43,10373,7642,9804,7045
67,434,35,58,2233,6552,10286,11274,588
67,434,35,58,8456,4989,5560,2337,10752
67,193,35,61,6386,10964,6746,9109,1985
67,364,35,1,8310,8798,6597,11274,7880
67,424,35,52,10365,5698,11274,10752,6657
67,424,35,52,1276,7212,7742,10216,8327
67,405,35,17,9882,4185,7880,4838,8494
67,434,35,34,11104,10709,10433,10524,5560
67,434,35,34,9399,7880,8037,868,11589
67,364,35,21,6386,10867,2206,10433,9090
